Country,City
Algeria,Algiers
Algeria,Annaba
Algeria,Bab Ezzouar
Algeria,Bejaïa
Algeria,Beni Saf
Algeria,Bordj el Kiffan
Algeria,Boumerdas
Algeria,Dellys
Algeria,Jijel
Algeria,Mers el Kebir
Algeria,Mostaganem
Algeria,Oran
Algeria,Skikda
Algeria,Tipasa
Algeria,’Aïn el Turk
Angola,Benguela
Angola,Cabinda
Angola,Lobito
Angola,Luanda
Angola,Soio
Cameroon,Bamusso
Cameroon,Bonabéri
Cameroon,Douala
Cape,Calheta
Cape,Cidade Velha
Cape,Pombas
Cape,Ponta do Sol
Cape,Porto dos Mosteiros
Cape,Porto Novo
Cape,Praia
Cape,Ribeira Grande
Cape,Sal Rei
Cape,Santa Maria
Cape,Tarrafal de São Nicolau
Cape,Vila do Maio
Congo,Loandjili
Congo,Pointe-Noire
Djibouti,Djibouti
Djibouti,Loyada
Djibouti,Obock
Djibouti,Tadjoura
Egypt,Al Maţarīyah
Egypt,Al Quşayr
Egypt,Alexandria
Egypt,Dhahab
Egypt,El Gouna
Egypt,Hurghada
Egypt,Idkū
Egypt,Makadi Bay
Egypt,Marsá Maţrūḩ
Egypt,Nuwaybi‘a
Egypt,Port Said
Egypt,Sharm el-Sheikh
Egypt,Suez
Egypt,‘Izbat al Burj
Equatorial,Bata
Equatorial,Luba
Equatorial,Malabo
Equatorial,Mbini
Equatorial,Río Campo
Eritrea,Assab
Eritrea,Edd
Eritrea,Massawa
Gabon,Cocobeach
Gabon,Libreville
Gabon,Mayumba
Gabon,Port-Gentil
Ghana,Accra
Ghana,Apam
Ghana,Axim
Ghana,Cape Coast
Ghana,Elmina
Ghana,Keta
Ghana,Mumford
Ghana,Saltpond
Ghana,Sekondi-Takoradi
Ghana,Shama Junction
Ghana,Takoradi
Ghana,Tema
Ghana,Teshi
Ghana,Winneba
Guinea,Boffa
Guinea,Camayenne
Guinea,Conakry
Guinea,Bissau
Guinea,Bolama
Guinea,Bubaque
Guinea,Cacheu
Ivory,Abidjan
Ivory,Grand-Bassam
Ivory,Grand-Lahou
Ivory,San-Pédro
Ivory,Sassandra
Ivory,Tabou
Kenya,Gazi
Kenya,Kilifi
Kenya,Kipini
Kenya,Lamu
Kenya,Malindi
Kenya,Mombasa
Kenya,Shimoni
Kenya,Takaungu
Kenya,Wasini Island
Liberia,Buchanan
Liberia,Greenville
Liberia,Harper
Liberia,Monrovia
Liberia,River Cess
Liberia,Robertsport
Madagascar,Ambodifotatra
Madagascar,Anakao
Madagascar,Andoany
Madagascar,Andovoranto
Madagascar,Antalaha
Madagascar,Antsiranana
Madagascar,Fenoarivo Atsinanana
Madagascar,Fort Dauphin
Madagascar,Mahajanga
Madagascar,Mahavelona
Madagascar,Manakara
Madagascar,Mananara Avaratra
Madagascar,Maroantsetra
Madagascar,Nosy Varika
Madagascar,Sambava
Madagascar,Soanierana Ivongo
Madagascar,Toamasina
Madagascar,Toliara
Mauritius,Bambous Virieux
Mauritius,Beau Vallon
Mauritius,Bois des Amourettes
Mauritius,Cap Malheureux
Mauritius,Grand Baie
Mauritius,Grand Gaube
Mauritius,Grand Sable
Mauritius,Grande Pointe aux Piments
Mauritius,Grande Rivière Noire
Mauritius,Grande Rivière Sud Est
Mauritius,Mahébourg
Mauritius,Petite Case Noyale
Mauritius,Port Louis
Mauritius,Port Mathurin
Mauritius,Poste de Flacq
Mauritius,Quatre Soeurs
Mauritius,Rivière du Rempart
Mauritius,Roches Noire
Mauritius,Souillac
Mauritius,Tamarin
Morocco,Agadir
Morocco,Al Hoceïma
Morocco,Asilah
Morocco,Azla
Morocco,Casablanca
Morocco,El Jadida
Morocco,Essaouira
Morocco,Kariat Arkmane
Morocco,Larache
Morocco,Martil
Morocco,Mohammedia
Morocco,Nador
Morocco,Rabat
Morocco,Safi
Morocco,Salé
Morocco,Taghazout
Morocco,Tangier
Morocco,Tizgane
Mozambique,António Enes
Mozambique,Beira
Mozambique,Cidade de Nacala
Mozambique,Ilha de Moçambique
Mozambique,Inhambane
Mozambique,Maputo
Mozambique,Matola
Mozambique,Maxixe
Mozambique,Mocímboa
Mozambique,Pemba
Mozambique,Quelimane
Namibia,Henties Bay
