City,CurrTemp,WindSpeed,Humidity
Algiers,23.6°C / 74.5°F,14 mph,65%
Annaba,24.9°C / 76.8°F,3 mph,88%
Bab,23.5°C / 74.3°F,5 mph,52%
Bejaïa,24.3°C / 75.7°F,5 mph,78%
Beni,21.8°C / 71.2°F,4 mph,75%
Bordj,23.5°C / 74.3°F,8 mph,88%
Boumerdas,23.4°C / 74.2°F,13 mph,55%
Dellys,24.5°C / 76.1°F,8 mph,59%
Jijel,24.3°C / 75.7°F,2 mph,83%
Mers,21.8°C / 71.2°F,6 mph,88%
Mostaganem,22.4°C / 72.3°F,5 mph,78%
Oran,21.8°C / 71.3°F,8 mph,88%
Skikda,24.5°C / 76.1°F,2 mph,75%
Tipasa,23.3°C / 73.9°F,2 mph,62%
’Aïn,21.8°C / 71.2°F,6 mph,88%
Benguela,22.3°C / 72.2°F,3 mph,87%
Cabinda,22.1°C / 71.8°F,8 mph,85%
Lobito,22.3°C / 72.2°F,6 mph,80%
Luanda,21.7°C / 71°F,18 mph,83%
Soio,22.1°C / 71.8°F,5 mph,92%
Bamusso,27.1°C / 80.8°F,1 mph,91%
Bonabéri,25.8°C / 78.5°F,1 mph,100%
Douala,25.8°C / 78.5°F,1 mph,100%
Calheta,23.1°C / 73.6°F,17 mph,79%
Cidade,23.7°C / 74.6°F,11 mph,69%
Pombas,22.8°C / 73°F,10 mph,84%
Ponta,22.9°C / 73.2°F,16 mph,82%
Porto,23.7°C / 74.7°F,17 mph,69%
Porto,22.8°C / 73.1°F,16 mph,77%
Praia,23.6°C / 74.5°F,15 mph,65%
Ribeira,22.8°C / 73°F,13 mph,82%
Sal,22.9°C / 73.3°F,19 mph,79%
Santa,22.8°C / 73.1°F,21 mph,61%
Tarrafal,22.7°C / 72.9°F,17 mph,80%
Vila,23.4°C / 74.1°F,22 mph,81%
Loandjili,21.8°C / 71.2°F,7 mph,89%
Pointe-Noire,21.8°C / 71.2°F,2 mph,100%
Djibouti,30.6°C / 87°F,11 mph,44%
Loyada,30.4°C / 86.8°F,8 mph,51%
Obock,30.4°C / 86.8°F,17 mph,41%
Tadjoura,30.4°C / 86.8°F,14 mph,38%
Al,27.4°C / 81.4°F,14 mph,73%
